Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulative reward
1,7,0,0,322,0.41463745304728955,-34.0
0,30,0,0,401,0.34045378284703187,-60.0
1,11,0,0,166,0.6960498667075546,-42.0
1,9,0,0,166,0.6812783304338428,-38.0
1,6,0,0,115,0.9439915975436846,-32.0
1,11,0,0,194,0.6028112297150595,-42.0
1,10,0,0,191,0.6034911724403624,-40.0
1,7,0,0,163,0.6862975991198224,-34.0
1,13,0,0,203,0.5691507572385052,-46.0
1,3,0,0,118,0.9205630431686617,-26.0
1,7,0,0,130,0.8338021809992465,-34.0
1,5,0,0,161,0.7095619320253844,-30.0
1,6,0,0,109,0.988820893775839,-32.0
1,12,0,0,310,0.41884409417147034,-44.0
1,20,0,0,285,0.44596531394435723,-60.0
1,10,0,0,170,0.6699194661174156,-40.0
1,6,0,0,253,0.49492847103589116,-32.0
1,2,0,0,95,1.1342856565514292,-24.0
1,16,0,0,382,0.360818178296427,-52.0
1,8,0,0,381,0.36171932563837156,-36.0
1,13,0,0,309,0.41539741315583506,-46.0
1,5,0,0,123,0.9068173012660156,-30.0
1,8,0,0,89,1.1910402476320867,-36.0
1,3,0,0,83,1.2738027466597346,-26.0
1,3,0,0,132,0.8496377951356296,-26.0
1,16,0,0,325,0.4069109318155213,-52.0
1,23,0,0,350,0.3926037924295293,-66.0
1,19,0,0,304,0.43077126702880414,-58.0
1,3,0,0,70,1.4451272535553101,-26.0
1,9,0,0,365,0.36463980511902444,-38.0
1,3,0,0,104,1.0363406797447725,-26.0
1,8,0,0,164,0.6985290719552193,-36.0
1,13,0,0,223,0.5363230354550171,-46.0
1,22,0,0,293,0.4398596299797247,-64.0
1,8,0,0,215,0.5431917337927515,-36.0
1,15,0,0,238,0.5172616641484549,-50.0
1,11,0,0,179,0.6436455783176931,-42.0
1,11,0,0,223,0.5213640619669895,-42.0
1,17,0,0,378,0.36496448310921065,-54.0
1,22,0,0,371,0.37165457842715577,-64.0
1,21,0,0,371,0.3732542193484915,-62.0
1,17,0,0,282,0.45168273747003485,-54.0
0,0,0,0,29,2.896551369109795,0.0
1,3,0,0,72,1.4304030926873466,-26.0
1,12,0,0,224,0.5477537906460339,-44.0
1,3,0,0,84,1.2539475311541068,-26.0
1,18,0,0,384,0.35806479621142184,-56.0
0,17,0,0,401,0.3585531500233767,-34.0
1,10,0,0,197,0.6103338942800086,-40.0
1,9,0,0,214,0.5604197209673052,-38.0
1,8,0,0,123,0.8998278153892129,-36.0
1,5,0,0,149,0.7472783783785485,-30.0
1,3,0,0,102,1.047904046381759,-26.0
1,4,0,0,145,0.7822673311606468,-28.0
1,7,0,0,118,0.9294287123953788,-34.0
1,3,0,0,90,1.1890975783097097,-26.0
1,8,0,0,145,0.7721267208600512,-36.0
1,3,0,0,172,0.6786869479782381,-26.0
0,27,0,0,401,0.34020303549532205,-54.0
0,19,0,0,401,0.34855187490662176,-38.0
1,7,0,0,101,1.0508886646432545,-34.0
1,3,0,0,206,0.5715041127042302,-26.0
0,25,0,0,401,0.3470050719006776,-50.0
1,8,0,0,158,0.7113999379240523,-36.0
1,15,0,0,206,0.5710491473929457,-50.0
1,9,0,0,157,0.7231378973769255,-38.0
1,8,0,0,126,0.8770402305845988,-36.0
0,14,0,0,401,0.3511921999901075,-28.0
1,8,0,0,255,0.48258971706599046,-36.0
1,9,0,0,268,0.4835715263439295,-38.0
1,11,0,0,195,0.610495830292486,-42.0
1,8,0,0,164,0.7004352331593441,-36.0
1,8,0,0,208,0.5657396792815151,-36.0
0,22,0,0,401,0.3526758092898889,-44.0
1,3,0,0,75,1.3704218923766796,-26.0
1,6,0,0,122,0.898171889074363,-32.0
1,26,0,0,348,0.38469779964582573,-72.0
1,12,0,0,260,0.47267143711684095,-44.0
1,11,0,0,206,0.5812079287841004,-42.0
1,12,0,0,114,0.9632959554895857,-44.0
1,8,0,0,219,0.5432966998266308,-36.0
1,14,0,0,238,0.5112348042319809,-48.0
1,10,0,0,180,0.6479506638140639,-40.0
1,3,0,0,165,0.6926028964902987,-26.0
1,18,0,0,354,0.3778510519126219,-56.0
1,8,0,0,124,0.881647162782458,-36.0
1,3,0,0,91,1.1520735222683336,-26.0
1,9,0,0,194,0.6062680801099083,-38.0
1,6,0,0,164,0.7010663428227385,-32.0
1,11,0,0,269,0.47737081786307817,-42.0
1,4,0,0,186,0.6289125260877927,-28.0
1,13,0,0,332,0.3897927912065034,-46.0
1,5,0,0,158,0.7111884937532059,-30.0
1,15,0,0,252,0.4928379573566962,-50.0
1,3,0,0,202,0.581774211901966,-26.0
1,3,0,0,78,1.3602108684522134,-26.0
1,6,0,0,165,0.6886228798626569,-32.0
1,3,0,0,154,0.7322011050291557,-26.0
1,3,0,0,116,0.9492956254133105,-26.0
1,10,0,0,159,0.712522365593358,-40.0
1,9,0,0,166,0.6826104804263949,-38.0
1,21,0,0,378,0.3645017776420001,-62.0
0,20,0,0,401,0.34551582437138023,-40.0
